EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
TTLS IN Equity,TATA TELESERVICE,96065148504.78,96065148504.78,49.14,,-34.91,13080400000.00
ABFRL IN Equity,ADITYA BIRLA FAS,95254595930.32,95254595930.32,77.41,,-24.11,98372900000.00
PGHL IN Equity,PROCTER & GAMBLE,94832269366.00,94832269366.00,5713.00,47.18,11.48,11512600000.00
BLUEJET IN Equity,BLUE JET HEALTHC,94469270455.00,94469270455.00,544.60,30.96,-3.39,10247290000.00
ASKAUTOL IN Equity,ASK AUTOMOTIVE L,94460876790.00,94460876790.00,479.15,38.15,1.04,35342600000.00
CLEAN IN Equity,CLEAN SCIENCE &,94376440097.55,94376440097.55,888.05,35.69,-37.30,9666440000.00
JLHL IN Equity,JUPITER LIFE LIN,93910213310.60,93910213310.60,1432.30,48.60,-8.29,12615450000.00
Z IN Equity,ZEE ENTERTAINMEN,93650643450.00,93650643450.00,97.50,13.62,-17.93,82941000000.00
LATENTVI IN Equity,LATENT VIEW ANAL,93156445008.00,93156445008.00,450.90,53.57,-7.89,8478430000.00
JKLC IN Equity,JK LAKSHMI CEMEN,93139355606.50,93139355606.50,750.25,31.89,-9.56,61562400000.00
GPIN IN Equity,GENUS POWER INFR,93027722533.20,93027722533.20,305.90,27.61,-19.73,24001769000.00
SKF IN Equity,SKF INDIA LTD,92859325902.90,92859325902.90,1878.30,16.41,-12.07,49199200000.00
INDIASHL IN Equity,INDIA SHELTER FI,92529731477.00,92529731477.00,852.65,24.24,21.63,11656421000.00
RHIM IN Equity,RHI MAGNESITA IN,92233861922.90,92233861922.90,446.65,45.53,-10.76,36241780000.00
MAPMYIND IN Equity,CE INFO SYSTEMS,91516512546.00,91516512546.00,1672.40,61.83,5.46,4632500000.00
KRB IN Equity,KRBL LTD,90182617448.00,90182617448.00,394.00,18.94,32.18,55728500000.00
STRCEM IN Equity,STAR CEMENT LTD,90051396907.60,90051396907.60,222.80,53.30,-3.72,29877957000.00
BBOX IN Equity,BLACK BOX LTD,89900617754.50,89900617754.50,528.50,43.46,-18.36,59667400000.00
TIME IN Equity,TIME TECHNOPLAST,89871257100.74,89871257100.74,182.06,21.29,-25.84,54570411000.00
VIKRAMSO IN Equity,VIKRAM SOLAR LTD,89785418851.80,89785418851.80,247.80,,,34234530000.00
BRCM IN Equity,BALRAMPUR CHINI,89696286149.40,89696286149.40,444.15,20.52,-15.54,54153783000.00
HONASA IN Equity,HONASA CONSUMER,89460424860.30,89460424860.30,274.95,122.75,7.74,20669490000.00
NAZARA IN Equity,NAZARA TECHNOLOG,89337640537.60,89337640537.60,241.15,88.82,-4.82,16239100000.00
ESAB IN Equity,ESAB INDIA LTD,88417506880.00,88417506880.00,5744.00,50.39,-0.74,13734700000.00
GPPV IN Equity,GUJARAT PIPAVAV,88126261193.90,88126261193.90,182.29,22.20,5.96,9142170000.00
MAHLIFE IN Equity,MAHINDRA LIFESPA,88013460787.80,88013460787.80,412.60,113.69,-2.40,3722721000.00
APOLLO IN Equity,APOLLO MICRO SYS,87904023811.20,87904023811.20,261.90,140.81,127.00,5620692000.00
TTKPT IN Equity,TTK PRESTIGE LTD,87847208686.80,87847208686.80,641.45,78.51,-20.04,27147800000.00
TLNGR IN Equity,TILAKNAGAR INDS,87623196375.00,87623196375.00,452.10,38.02,7.30,31746149000.00
TEJASNET IN Equity,TEJAS NETWORKS L,87544702612.45,87544702612.45,494.15,,-58.17,49073200000.00
KHL IN Equity,KAMA HOLDINGS LT,87193301332.50,87193301332.50,2717.10,13.80,12.74,148281551000.00
WESTLIFE IN Equity,WESTLIFE FOODWOR,87098144960.75,87098144960.75,558.55,716.09,-29.44,24911920000.00
ARVND IN Equity,ARVIND LTD,86969637552.00,86969637552.00,331.80,24.56,-18.25,80164100000.00
ORKLAIND IN Equity,ORKLA INDIA LTD,86419655745.50,86419655745.50,630.85,,,24175200000.00
NSE IN Equity,NESCO LTD,86334588988.00,86334588988.00,1225.30,23.01,27.80,7320071000.00
ASTM IN Equity,ASTRA MICROWAVE,86243298016.80,86243298016.80,908.35,56.18,18.60,10511792000.00
PGINVIT IN Equity,POWERGRID INFRAS,86149624264.00,86149624264.00,94.67,7.33,27.85,12664930000.00
GRWRHITE IN Equity,GARWARE HI-TECH,86069050051.80,86069050051.80,3704.70,25.99,-25.76,21093600000.00
VATW IN Equity,VA TECH WABAG LT,85149982987.00,85149982987.00,1366.90,28.79,-16.59,32940000000.00
JSLL IN Equity,JEENA SIKHO LIFE,85096279758.00,85096279758.00,684.60,93.78,60.90,4690719000.00
MMTC IN Equity,MMTC LTD,84795000000.00,84795000000.00,56.53,97.47,-22.09,26900000.00
TMB IN Equity,TAMILNAD MERCANT,84599264299.50,84599264299.50,534.25,6.97,21.15,58924800000.00
BENG IN Equity,BENGAL & ASSAM C,84137396627.05,84137396627.05,7377.95,11.49,-20.23,21523189000.00
PNGJL IN Equity,PN GADGIL JEWELL,84112024793.40,84112024793.40,619.80,36.25,-6.85,76934680000.00
AACL IN Equity,ALKYL AMINES,83743147939.80,83743147939.80,1637.40,44.98,-6.65,15481961000.00
CAMPUS IN Equity,CAMPUS ACTIVEWEA,83700034451.40,83700034451.40,273.95,69.01,-14.82,15929600000.00
NETFSD26 IN Equity,NIP-ETF-NFTY-SDL,83642992100.00,83642992100.00,134.39,,5.89,
KPIG IN Equity,KPI GREEN ENERG,83583811469.15,83583811469.15,423.55,26.10,-21.92,17354535000.00
BCORP IN Equity,BIRLA CORP LTD,83512298821.50,83512298821.50,1084.50,28.29,-11.68,90839200000.00
MRKS IN Equity,MARKSANS PHARMA,83368534351.62,83368534351.62,183.97,21.90,-37.76,26228450000.00
VREL IN Equity,V2 RETAIL LTD,81908532856.50,81908532856.50,2246.30,107.89,32.37,18796649000.00
STR IN Equity,STRIDES PHARMA S,81171900584.10,81171900584.10,880.65,19.99,34.16,45653350000.00
PCJL IN Equity,PC JEWELLER LTD,80979868147.75,80979868147.75,11.05,9.78,-30.37,22446000000.00
KBL IN Equity,KARNATAKA BANK,80604293173.08,80604293173.08,213.17,6.33,2.18,102831782000.00
MANORAMA IN Equity,MANORAMA INDUSTR,80570690382.00,80570690382.00,1349.40,71.78,25.49,7708419000.00
ALOK IN Equity,ALOK INDUSTRIES,80387242092.19,80387242092.19,16.19,,-22.98,37087800000.00
TRPC IN Equity,TRANSPORT CORP,79964865851.40,79964865851.40,1042.20,18.47,-9.02,46701000000.00
BLUESTON IN Equity,BLUESTONE JEWELL,79882024378.80,79882024378.80,527.90,,,17700020000.00
ETHOSLTD IN Equity,ETHOS LTD,79871713605.00,79871713605.00,2985.00,78.57,5.19,12516271000.00
WEWORK IN Equity,WEWORK INDIA MAN,79851057712.20,79851057712.20,595.80,,,19492110000.00
KKF IN Equity,KIRLOSKAR FERR,79822976448.60,79822976448.60,484.20,27.10,-23.91,65405400000.00
VAMP IN Equity,VOLTAMP TRANSFOR,79733022720.00,79733022720.00,7881.00,24.50,-21.42,19342303000.00
BBEES IN Equity,NIPPON INDIA ETF,79238221386.00,79238221386.00,616.02,,17.83,
LLOYDSET IN Equity,LLOYDS ENTERPRIS,78831142443.12,78831142443.12,54.96,133.55,21.82,14882897000.00
SAPPHIRE IN Equity,SAPPHIRE FOODS I,78713101092.60,78713101092.60,244.92,408.20,-25.67,28753630000.00
RATEGAIN IN Equity,RATEGAIN TRAVEL,78523039070.00,78523039070.00,665.00,37.51,-8.29,10766700000.00
BECTORS IN Equity,MRS BECTORS FOOD,78429957210.60,78429957210.60,1277.40,53.70,-21.70,18193860000.00
GMRPUI IN Equity,GMR POWER AND UR,78338898500.46,78338898500.46,109.59,4.68,-9.33,62849900000.00
RCF IN Equity,RASHTRIYA CHEMS,78334193319.00,78334193319.00,141.99,32.34,-17.57,169336400000.00
SHCR IN Equity,SHARDA CROPCHEM,78333944783.75,78333944783.75,868.25,25.73,10.26,43153721000.00
SCHI IN Equity,SUDARSHAN CHEM,78032645747.10,78032645747.10,992.70,126.23,-12.95,33455750000.00
RELG IN Equity,RELIGARE ENTERPR,77876185403.35,77876185403.35,235.45,62.12,-14.02,73542364000.00
HAPPSTMN IN Equity,HAPPIEST MINDS T,76853097111.70,76853097111.70,504.70,41.17,-30.55,20608400000.00
TRE IN Equity,TRIVENI ENGINEER,76723737784.00,76723737784.00,350.50,31.55,-22.09,56892400000.00
MHS IN Equity,MAHARASHTRA SEAM,76616426613.60,76616426613.60,571.80,9.86,-17.22,52686600000.00
TRANSRAI IN Equity,TRANSRAIL LIGHTI,76431955032.50,76431955032.50,569.30,,5.50,40092300000.00
DIACABS IN Equity,DIAMOND POWER IN,76052463379.20,76052463379.20,144.32,222.03,-6.19,11153925000.00
INOXGREE IN Equity,INOX GREEN ENERG,75744924913.82,75744924913.82,206.38,393.50,16.72,2286661000.00
LOTUSDEV IN Equity,SRI LOTUS DEVELO,75292774762.60,75292774762.60,154.06,,,5496820000.00
SUDEEPPH IN Equity,SUDEEP PHARMA LT,74935765256.25,74935765256.25,663.45,,,4972470000.00
SKPI IN Equity,SHAKTI PUMPS LTD,74371953505.50,74371953505.50,602.70,17.74,-43.48,24791100000.00
MAXESTAT IN Equity,MAX ESTATES LTD,74024997984.60,74024997984.60,459.65,174.79,-18.98,1604876000.00
GNFC IN Equity,GUJARAT NARM VLY,73867081344.10,73867081344.10,502.70,12.36,-6.96,78924500000.00
DODLA IN Equity,DODLA DAIRY LTD,73708517036.20,73708517036.20,1221.80,28.24,-3.75,37182530000.00
BORORENE IN Equity,BOROSIL RENEWABL,73535702856.00,73535702856.00,552.00,,-1.51,14793289000.00
PGIL IN Equity,PEARL GLOBAL IND,73472015558.60,73472015558.60,1595.80,29.04,8.69,45062879000.00
DBL IN Equity,DILIP BUILDCON L,73433186757.65,73433186757.65,452.05,10.31,0.58,106468422000.00
PRICOL IN Equity,PRICOL LTD,73366567721.10,73366567721.10,601.95,43.94,11.21,26919224000.00
MTARTECH IN Equity,MTAR TECHNOLOGIE,73327788984.90,73327788984.90,2383.90,138.68,43.76,6646460000.00
TANLA IN Equity,TANLA PLATFORMS,73191520432.10,73191520432.10,551.90,14.62,-15.15,40277215000.00
EBECK IN Equity,ELANTAS BECK IND,72340891018.20,72340891018.20,9125.10,54.41,-28.54,7966089000.00
WELENT IN Equity,WELSPUN ENTERPRI,72037467414.50,72037467414.50,520.45,20.18,-14.81,35841000000.00
LLOYDSEN IN Equity,LLOYDS ENGINEER,71863569595.04,71863569595.04,52.64,66.88,-22.24,8457408000.00
SARE IN Equity,SAREGAMA INDIA,71397354147.00,71397354147.00,370.30,34.87,-18.36,11713576000.00
GSFC IN Equity,GUJARAT STATE F,71383264724.20,71383264724.20,179.14,12.08,-7.14,95339577000.00
IMFA IN Equity,INDIAN METALS,71332723542.60,71332723542.60,1322.10,18.84,57.27,25346300000.00
GALSURF IN Equity,GALAXY SURFA LTD,71111596086.40,71111596086.40,2005.70,23.32,-19.58,41983100000.00
TARIL IN Equity,TRANSFORMERS & R,71109286074.60,71109286074.60,236.90,32.86,-58.41,19902203000.00
BALUFORG IN Equity,BALU FORGE INDUS,70692076785.00,70692076785.00,620.15,32.23,-21.60,9064177000.00
AJAXENGG IN Equity,AJAX ENGINEERING,70405944720.00,70405944720.00,615.40,27.07,,20739150000.00
POWM IN Equity,POWERMECH PROJEC,69935237904.00,69935237904.00,2212.00,21.42,-13.90,52202400000.00
REDTAPE IN Equity,REDTAPE LTD/INDI,69869352564.00,69869352564.00,126.39,41.04,-41.88,20209100000.00
EQUITASB IN Equity,EQUITAS SMALL FI,69097306831.02,69097306831.02,60.58,,-5.37,69893751000.00
CRS IN Equity,CERA SANITARYWAR,68924459104.00,68924459104.00,5344.00,28.07,-28.89,18864859000.00
RUSTOMJE IN Equity,KEYSTONE REALTOR,68595555128.25,68595555128.25,543.45,39.24,-19.19,20041000000.00
KALPATAR IN Equity,KALPATARU LTD,68569359669.00,68569359669.00,333.00,257.97,,22216200000.00
IRBINVIT IN Equity,IRB INVIT FUND,68402547850.00,68402547850.00,60.97,9.95,15.42,10840560000.00
FDCLT IN Equity,FDC LTD,67411515280.20,67411515280.20,414.05,25.26,-17.10,21025714000.00
TIPSMUSI IN Equity,TIPS MUSIC LTD,67201066863.00,67201066863.00,525.70,40.38,-29.58,3106873000.00
CSBBANK IN Equity,CSB BANK LTD,67086969300.90,67086969300.90,386.70,11.30,23.51,35971400000.00
KKPC IN Equity,KIRLOSKAR PNEUMA,67076762497.00,67076762497.00,1033.30,31.72,-32.24,16401690000.00
ATLANTAE IN Equity,ATLANTA ELECTRIC,66996184531.25,66996184531.25,871.25,,,12251000000.00
GANESHHO IN Equity,GANESH HOUSING L,66863938116.50,66863938116.50,801.85,11.18,-35.93,9597617000.00
PRSMJ IN Equity,PRISM JOHNSON LT,66835686692.40,66835686692.40,132.78,83.51,-21.91,72114700000.00
MAST IN Equity,MASTEK LTD,66828357957.90,66828357957.90,2157.10,17.71,-26.90,34552300000.00
NETM IN Equity,NETWORK 18 MED,66691500778.50,66691500778.50,43.25,,-39.53,67965700000.00
AHLU IN Equity,AHLUWALIA CONTRA,66525345836.00,66525345836.00,993.10,32.92,-3.13,40986231000.00
TC IN Equity,THOMAS COOK LTD,66502403855.56,66502403855.56,141.38,25.89,-27.82,79893500000.00
MOIL IN Equity,MOIL LTD,66427747130.95,66427747130.95,326.45,17.40,0.86,15849409000.00
YATHARTH IN Equity,YATHARTH HOSPITA,66185807823.30,66185807823.30,686.90,46.66,21.22,8804870000.00
AKUMS IN Equity,AKUMS DRUGS & PH,66105474960.00,66105474960.00,420.00,18.58,-34.21,41181580000.00
IGLY IN Equity,INDIA GLYCOLS,65786995200.00,65786995200.00,1062.40,28.49,66.45,36944524000.00
GTFL IN Equity,GARWARE TECHNICA,65649466590.75,65649466590.75,661.35,28.36,-29.60,15401129000.00
ARVINDFA IN Equity,ARVIND FASHIONS,65500819324.40,65500819324.40,489.40,,-4.45,46176100000.00
AARTIPHA IN Equity,AARTI PHARMALABS,65406554985.70,65406554985.70,721.55,24.00,5.79,20860021000.00
THYROCAR IN Equity,THYROCARE TECHNO,65264251394.55,65264251394.55,410.05,50.94,37.83,7626400000.00
BANKNIFT IN Equity,KOTAK NFY BK ETF,65158210956.00,65158210956.00,616.74,,18.04,
DBREALTY IN Equity,VALOR ESTATE LTD,64925605536.71,64925605536.71,120.41,,-21.66,11330805000.00
ASMN IN Equity,ASHAPURA MINECHE,64914759895.90,64914759895.90,679.55,21.94,74.84,27389341000.00
AVL IN Equity,ADITYA VISION LT,64910508725.00,64910508725.00,504.50,61.48,-0.63,22597768000.00
KMC IN Equity,KOVAI MED CENTER,64887613660.00,64887613660.00,5930.00,31.06,-0.52,13593339000.00
SLPA IN Equity,SHILPA MEDICARE,64864709276.40,64864709276.40,331.65,82.85,-18.56,12864140000.00
SFL IN Equity,SHEELA FOAM LTD,64824236921.40,64824236921.40,596.30,67.45,-39.86,34246900000.00
EPLL IN Equity,EPL LTD,64386115609.20,64386115609.20,201.08,17.84,-20.66,42133000000.00
NGE IN Equity,JAYASWAL NECO IN,64357763612.32,64357763612.32,66.28,57.14,68.31,59997322000.00
GEXP IN Equity,GOKALDAS EXPORTS,63923765518.40,63923765518.40,872.80,39.03,-22.92,35780499000.00
PNCL IN Equity,PNC INFRATECH LT,63880817476.65,63880817476.65,249.01,7.83,-25.20,67686837000.00
IFBI IN Equity,IFB INDS LTD,63622613479.20,63622613479.20,1570.20,53.50,-17.18,50917100000.00
EPIGRAL IN Equity,EPIGRAL LTD,63495421268.40,63495421268.40,1471.80,17.38,-22.13,25501300000.00
MHRL IN Equity,MAHINDRA HOLIDAY,63227266656.95,63227266656.95,312.95,49.44,-12.49,26401690000.00
RELI IN Equity,RELIANCE INFRAST,63219332023.74,63219332023.74,154.71,1.24,-49.13,232640700000.00
RAYMONDL IN Equity,RAYMOND LIFESTYL,63025494200.50,63025494200.50,1034.50,84.52,-50.84,65111900000.00
SEL IN Equity,SUPRAJIT ENGINEE,63002707817.10,63002707817.10,459.30,63.79,0.66,32769520000.00
UTLSOLAR IN Equity,FUJIYAMA POWER S,62593625597.52,62593625597.52,204.28,,,17501975000.00
JKPAPER IN Equity,JK PAPER LTD,62543345404.80,62543345404.80,369.20,15.26,-9.75,65761600000.00
HNDFDS IN Equity,HINDUSTAN FOODS,62208179385.30,62208179385.30,520.65,54.75,0.74,35643800000.00
ACI IN Equity,ARCHEAN CHEMICAL,62114980966.50,62114980966.50,503.25,38.33,-24.48,10410179000.00
JUST IN Equity,JUST DIAL LTD,62074095144.30,62074095144.30,729.90,10.62,-26.53,11419300000.00
INFIBEAM IN Equity,INFIBEAM AVENUES,61921752150.50,61921752150.50,17.67,23.25,-24.04,39925780000.00
GRLM IN Equity,GREENLAM INDUSTR,61516110952.20,61516110952.20,241.10,88.32,-16.99,25693400000.00
VMART IN Equity,VMART RETAIL LTD,60397490707.50,60397490707.50,760.30,52.46,-22.74,34989000000.00
SWANDEF IN Equity,SWAN DEFENCE AND,60173551730.00,60173551730.00,1142.20,,,70346000.00
SYML IN Equity,SYMPHONY LTD,60029104310.00,60029104310.00,874.15,28.30,-34.34,15727000000.00
SUPRIYA IN Equity,SUPRIYA LIFESCIE,59975782560.00,59975782560.00,745.20,31.91,0.88,6964850000.00
LGBB IN Equity,LG BALAKRISHNAN,59944985113.60,59944985113.60,1879.60,19.69,52.09,24193739000.00
AUPS IN Equity,AURIONPRO SOLUTI,59337980691.00,59337980691.00,1074.70,30.95,-36.90,11729671000.00
FIEM IN Equity,FIEM INDUSTRIES,59308721844.00,59308721844.00,2253.40,28.94,54.32,24053678000.00
OSWALPUM IN Equity,OSWAL PUMPS LTD,59308147374.90,59308147374.90,520.35,18.45,,14303070000.00
SRIN IN Equity,SUNTECK REALTY,59306105657.40,59306105657.40,404.85,39.46,-20.01,8531340000.00
JBIL IN Equity,JAI BALAJI INDS,59013545006.70,59013545006.70,64.69,10.35,-63.99,63508000000.00
ENERGYIN IN Equity,ENERGY INFRASTRU,58930000000.00,58930000000.00,88.75,682.69,15.77,38712000000.00
INDIGOPN IN Equity,INDIGO PAINTS LT,58903280401.00,58903280401.00,1235.50,41.52,-11.61,13406729000.00
ICNT IN Equity,INDO COUNT INDS,58703306376.00,58703306376.00,296.40,23.86,-8.44,38168233000.00
ICRA IN Equity,ICRA LTD,58645705171.50,58645705171.50,6076.50,34.38,-3.99,4970007000.00
GOKUL IN Equity,GOKUL AGRO RESOU,58565860524.52,58565860524.52,198.47,23.85,15.83,195507505000.00
MIDHANI IN Equity,MISHRA DHATU NIG,58440713000.00,58440713000.00,311.95,52.69,-7.30,10527857000.00
MASFIN IN Equity,MAS FINANCIAL SE,58173952666.20,58173952666.20,320.60,18.34,17.18,16001500000.00
IGSEC IN Equity,ISGEC HEAVY ENGI,57720665350.00,57720665350.00,785.00,16.93,-45.31,64222779000.00
GHCL IN Equity,GHCL LTD,57600019161.30,57600019161.30,599.55,9.15,-15.50,31834800000.00
DYTC IN Equity,DYNAMATIC TECH,57581249475.50,57581249475.50,8478.50,133.75,0.20,14038000000.00
AVALON IN Equity,AVALON TECHNOLOG,57554763311.05,57554763311.05,862.45,89.65,-10.53,10981280000.00
AXET IN Equity,AXISCADES TECHNO,57517523839.20,57517523839.20,1352.80,76.17,113.39,10307237000.00
SUBR IN Equity,SUBROS LTD,57469433962.50,57469433962.50,880.95,38.19,42.62,33675747000.00
CMSINFO IN Equity,CMS INFO SYSTEMS,57417364063.10,57417364063.10,349.10,15.32,-27.35,24245320000.00
PRJ IN Equity,PRAJ INDUSTRIES,57073963824.00,57073963824.00,310.50,26.07,-61.70,32280422000.00
PIICL IN Equity,PILANI INVESTMEN,56889220500.00,56889220500.00,5138.00,57.76,-5.16,3021412000.00
PURVA IN Equity,PURAVANKARA LTD,56868494702.80,56868494702.80,239.80,,-36.89,19190200000.00
GOLI IN Equity,GULF OIL LUBRICA,56752090186.10,56752090186.10,1150.70,15.26,-1.55,38481466000.00
CRAMC IN Equity,CANARA ROBECO AS,56704345651.80,56704345651.80,284.35,,,4305691000.00
RATI IN Equity,RATTANINDIA ENTE,56686875967.92,56686875967.92,41.01,67.23,-35.54,66870780000.00
HMT IN Equity,HMT LTD,56628429829.20,56628429829.20,47.03,,-24.24,1423057000.00
DAGRI IN Equity,DHANUKA AGRITECH,56438061648.00,56438061648.00,1252.00,19.10,-15.17,20351518000.00
SHRS IN Equity,SHREE RENUKA SUG,56277269598.12,56277269598.12,26.44,,-33.01,105890840000.00
BPAGRI IN Equity,BLUE PEARL AGRIV,56212822400.00,56212822400.00,93.29,9329.00,622.62,353299000.00
SYR IN Equity,SURYA ROSHNI LTD,55932425272.00,55932425272.00,257.00,16.11,-11.89,73852400000.00
SHMO IN Equity,SHARDA MOTOR IND,55860568323.30,55860568323.30,973.05,17.89,6.42,28365709000.00
CAPILLAR IN Equity,CAPILLARY TECHNO,55768073184.95,55768073184.95,703.15,,,5982590000.00
DCBB IN Equity,DCB BANK LTD,55694832856.64,55694832856.64,173.12,8.14,44.39,78743400000.00
PARAS IN Equity,PARAS DEFENCE &,55613316433.00,55613316433.00,690.10,87.62,37.01,3646612000.00
QPOWER IN Equity,QUALITY POWER EL,55542908520.00,55542908520.00,717.20,78.81,,3307390000.00
BJE IN Equity,BAJAJ ELECTRICAL,55513378484.00,55513378484.00,481.10,41.58,-37.04,48159133000.00
PCAI IN Equity,PICCADILY AGRO,55329842784.35,55329842784.35,582.35,53.67,-35.97,8181248000.00
RESP IN Equity,RESPONSIVE IND L,54628090665.60,54628090665.60,204.90,27.47,-17.32,14179119000.00
RJEX IN Equity,RAJESH EXPORTS,54519751429.35,54519751429.35,184.65,227.96,-19.93,70270720000.00
MINF IN Equity,MAN INFRACONSTRU,54244704941.90,54244704941.90,134.38,17.70,-44.88,11026338000.00
FEDFINA IN Equity,FEDBANK FINANCIA,54063211500.36,54063211500.36,144.53,23.85,40.88,20357900000.00
RSENSEX IN Equity,NIPPON INDIA ETF,53752700083.20,53752700083.20,977.12,,10.81,
HGINFRA IN Equity,HG INFRA ENGINEE,53749873797.25,53749873797.25,824.75,10.64,-45.53,47670560000.00
SHREEJIS IN Equity,SHREEJI SHIPPING,53714148343.80,53714148343.80,329.70,,,6076130000.00
SJS IN Equity,SJS ENTERPRISES,53301190693.20,53301190693.20,1668.30,44.11,44.85,7604860000.00
KINGFA IN Equity,KINGFA SCIENCE &,53218983463.20,53218983463.20,3927.20,31.11,11.23,17446906000.00
LUMX IN Equity,LUMAX INDS,52996966574.00,52996966574.00,5669.50,37.88,146.27,33546594000.00
JBEES IN Equity,NIPPON INDIA ETF,52933956411.60,52933956411.60,739.64,,1.74,
GAEX IN Equity,GUJARAT AMB EXP,52893900511.20,52893900511.20,115.32,21.20,-7.15,45829200000.00
INDUSINV IN Equity,INDUS INFRA TRUS,52634394432.15,52634394432.15,118.83,355.49,20.93,1286070000.00
CIGN IN Equity,CIGNITI TECHNOLO,52442791690.00,52442791690.00,1910.00,26.25,9.53,20143409000.00
SKIPPER IN Equity,SKIPPER LTD,52132147063.84,52132147063.84,451.55,33.37,-16.83,46244800000.00
SKYGOLD IN Equity,SKY GOLD AND DIA,52111696966.00,52111696966.00,336.50,35.35,-14.07,35480196000.00
RTPOW IN Equity,RATTANINDIA POWE,52090026842.00,52090026842.00,9.70,23.66,-28.99,32838300000.00
MIDWESTL IN Equity,MIDWEST LTD,51767824185.60,51767824185.60,1431.60,,,
JUNIPER IN Equity,JUNIPER HOTELS L,51633903231.04,51633903231.04,232.06,72.52,-33.87,9442725000.00
TIIL IN Equity,TECHNOCRAFT IND,51603288248.00,51603288248.00,2276.00,20.26,-16.10,25955839000.00
SWSOLAR IN Equity,STERLING AND WIL,51575480362.00,51575480362.00,220.85,63.28,-51.87,63000900000.00
MIT IN Equity,MAPLE INFRASTRUC,51275952000.00,51275952000.00,145.60,,4.94,0.00
EMUDHRA IN Equity,EMUDHRA LTD,51161072584.60,51161072584.60,617.80,60.45,-33.84,5193850000.00
SMARTWOR IN Equity,SMARTWORKS COWOR,51088866585.90,51088866585.90,447.15,,,13740560000.00
BANSALWI IN Equity,BANSAL WIRE INDU,50536261305.60,50536261305.60,322.80,33.18,-28.44,35071680000.00
SEQ IN Equity,SEQUENT SCIENTIF,50513984795.60,50513984795.60,199.70,226.93,13.56,15469760000.00
NIITMTS IN Equity,NIIT LEARNING SY,50490080764.20,50490080764.20,368.20,21.98,-17.60,16532640000.00
SENCO IN Equity,SENCO GOLD LTD,50449804005.80,50449804005.80,308.15,30.52,-42.39,63183930000.00
STYL IN Equity,SESHAASAI TECHNO,50313521594.70,50313521594.70,310.95,,,14615290000.00
KSCL IN Equity,KAVERI SEED,50284263856.05,50284263856.05,977.55,17.74,12.47,12049704000.00
UNIMECH IN Equity,UNIMECH AEROSPAC,50266943157.20,50266943157.20,988.40,63.18,-28.18,2472406000.00
ASM IN Equity,ASM TECHNOLOGIES,50194095855.00,50194095855.00,3371.75,151.40,147.93,2888100000.00
ELLEN IN Equity,ELLENBARRIE INDU,49989857320.00,49989857320.00,354.70,,,3124830000.00
TXMRE IN Equity,TEXMACO RAIL & E,49901939755.80,49901939755.80,122.65,19.66,-36.39,50718724000.00
ION IN Equity,ION EXCHANGE LTD,49844640611.50,49844640611.50,339.85,19.39,-48.10,27159979000.00
RSYS IN Equity,R SYSTEMS INTL,49757149071.75,49757149071.75,420.25,26.33,-8.28,18520520000.00
RALI IN Equity,RALLIS INDIA LTD,49686801395.00,49686801395.00,255.50,39.74,-13.00,26629400000.00
SPADV IN Equity,SUN PHARMA ADV,49628995435.56,49628995435.56,152.94,,-23.74,717660000.00
DATA IN Equity,DATAMATICS GLOBA,49489779509.70,49489779509.70,837.30,24.12,31.87,17233600000.00
VIP IN Equity,VIP INDS LTD,49064565303.60,49064565303.60,345.40,,-28.06,21647400000.00
GMM IN Equity,GMM PFAUDLER LTD,48962912658.40,48962912658.40,1089.10,92.45,-7.44,31744800000.00
SMLMAH IN Equity,SML MAHINDRA LTD,48781024336.80,48781024336.80,3370.80,40.09,141.77,23786960000.00
JMNA IN Equity,JAMNA AUTO INDS,48715443958.50,48715443958.50,122.10,27.01,27.90,22239518000.00
OPIL IN Equity,OPTIEMUS INFRACO,48709355477.20,48709355477.20,552.20,74.93,-20.92,18899968000.00
ITSL IN Equity,INDO THAI SECURI,48700876095.00,48700876095.00,400.50,508.52,214.30,271875000.00
KRN IN Equity,KRN HEAT EXCHANG,48671725630.00,48671725630.00,783.05,80.31,11.78,4298493000.00
AGIG IN Equity,AGI GREENPAC LTD,48303064654.60,48303064654.60,746.60,14.98,-32.88,25288220000.00
SOTL IN Equity,STERLITE TECH LT,48300345835.60,48300345835.60,98.96,,16.47,38710000000.00
SAATVIK IN Equity,SAATVIK GREEN EN,48287191019.60,48287191019.60,379.90,,,21583940000.00
VSTT IN Equity,VST TILLERS TRAC,48178077492.00,48178077492.00,5574.00,51.80,6.40,9898293000.00
PDSL IN Equity,PDS LTD,48148793999.80,48148793999.80,340.60,29.77,-40.64,121000958000.00
CRIZAC IN Equity,CRIZAC LTD,47997699750.00,47997699750.00,274.30,,,8494910000.00
NIFTYETF IN Equity,MIRAE-N50-ETF,47969858648.00,47969858648.00,282.64,,11.94,
KNM IN Equity,KENNAMETAL INDIA,47907068640.00,47907068640.00,2179.75,46.56,-25.37,11703000000.00
VRLL IN Equity,VRL LOGISTICS,47906494711.50,47906494711.50,273.85,20.51,10.20,31755537000.00
ITDC IN Equity,INDIA TOURISM,47897921430.00,47897921430.00,558.45,29.41,-9.51,5614164000.00
